PLT_IND_DTM,RELATED_SCAN_WC,WORK_CENTRE_NAME_EN,TOTAL_PROCESSED,PROCESSED_OT,PROCESSED_LATE
2022/08/03,990715,ST. JOHN'S / ILS OH4011,20,0,0
2022/11/03,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1751,1358,61
2023/05/05,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1304,965,32
2021/12/17,800509,TORONTO GW BMF / LPS 1021,2,0,0
2022/12/15,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1079,751,157
2022/03/11,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1,1,0
2022/05/10,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,2452,1461,367
2023/01/03,800214,ST JOHN'S / ILC 1240,1254,1121,122
2021/12/07,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,8,5,0
2022/10/20,862380,TORONTO GW BMF / EUS SS 1023,27185,20079,5355
2022/06/01,862380,TORONTO GW BMF / EUS SS 1023,32051,24018,6823
2022/08/16,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1334,920,157
2022/08/26,862380,TORONTO GW BMF / EUS SS 1023,17118,13906,2278
2023/03/22,800509,TORONTO GW BMF / LPS 1021,25444,19572,4676
2023/02/23,800509,TORONTO GW BMF / LPS 1021,21171,13812,5995
2022/01/05,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,5,3,1
2021/10/13,862380,TORONTO GW BMF / EUS SS 1023,1,0,1
2022/06/24,862380,TORONTO GW BMF / EUS SS 1023,16241,12236,2757
2022/05/25,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,2436,1525,408
2021/12/22,862380,TORONTO GW BMF / EUS SS 1023,6,5,1
2021/06/28,862380,TORONTO GW BMF / EUS SS 1023,4,4,0
2021/10/01,862380,TORONTO GW BMF / EUS SS 1023,1,1,0
2022/08/17,800509,TORONTO GW BMF / LPS 1021,20766,17705,2481
2022/08/23,990706,BSS 1330 ST JOHN'S ORIGINATING,379,232,9
